1,Михаил Зайцев,2197,1,3,1,0.0,0.0,2:?,?,?
2,Ольга Копылова,2176,1,3,2,0.0,0.0,1:?,?,?
3,Алексей Лебедев,2040,1,3,3,0.0,0.0,4:?,?,?
4,Павел Семёнов,1974,1,3,4,0.0,0.0,3:?,?,?
5,Владимир Волков,1932,1,3,5,0.0,0.0,6:?,?,?
6,Андрей Козлов,1821,1,3,6,0.0,0.0,5:?,?,?
7,Дмитрий Смирнов,1786,2,2,7,0.0,0.0,8:?,?,?
8,Александр Иванов,1769,2,2,8,0.0,0.0,7:?,?,?
9,Ирина Егорова,1682,2,2,9,0.0,0.0,10:?,?,?
10,Ольга Морозова,1674,2,2,10,0.0,0.0,9:?,?,?
11,Анна Кузнецова,1540,2,2,11,0.0,0.0,12:?,?,?
12,Степан Киселев,1480,2,2,12,0.0,0.0,11:?,?,?
13,Иван Беляев,1453,3,1,13,0.0,0.0,14:?,?,?
14,Мария Петрова,1314,3,1,14,0.0,0.0,13:?,?,?
15,Наталья Новикова,1264,3,1,15,0.0,0.0,16:?,?,?
16,Екатерина Степанова,1220,3,1,16,0.0,0.0,15:?,?,?
17,Сергей Соколов,1212,3,1,17,0.0,0.0,18:?,?,?
18,Татьяна Павлова,1202,3,1,18,0.0,0.0,17:?,?,?
19,Светлана Орлова,1097,4,0,19,0.0,0.0,20:?,?,?
20,Елена Попова,1072,4,0,20,0.0,0.0,19:?,?,?
21,Иван Большой,988,4,0,21,0.0,0.0,X,?,?
