1,Михаил Зайцев,2197,1,4,1,3.0,3.0,6:1,3:?,?,?,?
3,Алексей Лебедев,2040,1,4,2,3.0,3.0,4:1,1:?,?,?,?
5,Владимир Волков,1932,1,4,3,3.0,3.0,2:1,9:?,?,?,?
9,Ирина Егорова,1682,2,3,4,3.0,3.0,10:1,5:?,?,?,?
10,Ольга Морозова,1674,2,3,5,3.0,3.0,9:1,7:?,?,?,?
7,Дмитрий Смирнов,1786,2,3,6,2.0,2.0,12:1,10:?,?,?,?
8,Александр Иванов,1769,2,3,7,2.0,2.0,11:1,2:?,?,?,?
2,Ольга Копылова,2176,1,3,8,0.0,4.0,5:0,8:?,?,?,?
4,Павел Семёнов,1974,1,3,9,0.0,4.0,3:0,6:?,?,?,?
6,Андрей Козлов,1821,1,3,10,0.0,4.0,1:0,4:?,?,?,?
13,Иван Беляев,1453,3,2,11,1.0,1.0,18:1,16:?,?,?,?
16,Екатерина Степанова,1220,3,2,12,1.0,1.0,15:1,13:?,?,?,?
17,Сергей Соколов,1212,3,2,13,1.0,1.0,14:1,11:?,?,?,?
11,Анна Кузнецова,1540,2,2,14,0.0,3.0,8:0,17:?,?,?,?
12,Степан Киселев,1480,2,2,15,0.0,3.0,7:0,14:?,?,?,?
14,Мария Петрова,1314,3,1,16,0.0,2.0,17:0,12:?,?,?,?
15,Наталья Новикова,1264,3,1,17,0.0,2.0,16:0,18:?,?,?,?
18,Татьяна Павлова,1202,3,1,18,0.0,2.0,13:0,15:?,?,?,?
20,Елена Попова,1072,4,1,19,0.0,0.0,19:1,21:?,?,?,?
21,Иван Большой,988,4,1,20,0.0,0.0,X,20:?,?,?,?
19,Светлана Орлова,1097,4,0,21,0.0,1.0,20:0,X,?,?,?
